address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"386 rue de Vaugirard",attraction,87678,48.832789668626,2.2881734880908,Paris,"Dupont Versailles",4d4c4f05190ba093eb721fa5,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=87678,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87678
"rue Rampal",attraction,87680,48.873115,2.379735,Paris,"La Rampouze",4d4c98c92e5ea143f2f5987f,0,"Spiritual Center",http://tour-pedia.org/api/getPlaceDetails?id=87680,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87680
"Quai d'Austerlitz",attraction,87689,48.840062684306,2.3704719543457,Paris,"Quai d'Austerlitz",4d4eb13ae0f2a1cdf2ba8f8d,0,"Other Great Outdoors",http://tour-pedia.org/api/getPlaceDetails?id=87689,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87689
"10 Rue Raffaelli",attraction,87704,48.843381985826,2.2552133249729,Paris,"TC Jean Bouin",4d53d36cbbbf3704950c3978,0,Tennis,http://tour-pedia.org/api/getPlaceDetails?id=87704,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87704
"Pont d'Austerlitz",attraction,87708,48.844973595061,2.3660945892334,Paris,"Pont d'Austerlitz",4d54348ef5daa0938b286f74,0,Bridge,http://tour-pedia.org/api/getPlaceDetails?id=87708,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87708
"69 rue de Sèvres",attraction,87712,48.848891028262,2.3219977919658,Paris,"Chapelle Saint Vincent de Paul",4d56a4b2fb65236a4d1a08b4,0,Church,http://tour-pedia.org/api/getPlaceDetails?id=87712,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87712
"16 Rue de la Chapelle",attraction,87802,48.89133,2.36021,Paris,"Église Saint-Denys de la Chapelle",4d72a829ff6ba35d21d6718a,0,Church,http://tour-pedia.org/api/getPlaceDetails?id=87802,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87802
"Place Lachambaudie",attraction,87804,48.836313,2.387249,Paris,"Église Notre-Dame-de-la-Nativité de Bercy",4d750dd8949854817cf7317e,0,Church,http://tour-pedia.org/api/getPlaceDetails?id=87804,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87804
"62 rue d'Alleray",attraction,87811,48.836051691131,2.3049187660217,Paris,"Jardin d'Alleray",4d76435a6c22b60c68cfe5d6,0,Garden,http://tour-pedia.org/api/getPlaceDetails?id=87811,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87811
"Pont National",attraction,87822,48.828000489152,2.3869514465332,Paris,"Pont National",4d79d254c307a35d46fc4a31,0,Bridge,http://tour-pedia.org/api/getPlaceDetails?id=87822,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87822
"35 Avenue Daumesnil",attraction,87823,48.833834208461,2.4196207523346,Paris,"Rocher du zoo de Vincennes",4d79d7810ceba1cd5940b858,0,Zoo,http://tour-pedia.org/api/getPlaceDetails?id=87823,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87823
